,Unnamed: 0,Data,User,Pesan,Jam,Tanggal,Status
229,229,230,Billy,"Membalas : Jadi saat break volume tinggi baru masuk buat optimal entry ya? Kalau mau spekulasi cicil2 waktu sudah mulai mendekati MA50W nya
Iya ini waktu posisi nya market baru mau turn bull kang.. Skrg kan beda lg.. Skrg cari pivot entry ketika Saham2 yg lg otw uptrend.. Bisa flat base.. Bisa cnh atau rounding",2:24:46 PM,Saturday March 27 2021,Positif
238,238,239,qodri,"Membalas : Photo
wkwkwkwkwkkwk hasil cuan MPPA d balikin lg k perusahaannya ya pakde",2:04:15 PM,Saturday March 27 2021,Positif
246,246,247,Hendro Masori,Lanjutkan. Pamit dulu waktunya belanja ke MPPA....  ,1:46:05 PM,Saturday March 27 2021,Positif
248,248,249,DEN,ANTM minggu depan ARA wajib pantau beritanya baru di buat media    ,1:44:41 PM,Saturday March 27 2021,Positif
258,258,259,Tommy Daniel,"Membalas : berkat guru-guru disini pak benhan   semenjak para guru disini sharing pengalaman, saya berpendapat tidak perlu waktu lama untu
Kalo udah cuan 10% gak ada salahnya take profit.

Kalo dipraktekkan 10x aja modal udah grow 100%",1:28:40 PM,Saturday March 27 2021,Positif
278,278,279,Fajar Oktavaria,"Membalas : Mantap, set stoploss di berapa skrg DOID
engga cutloss jadinya pak, malahan jadi profit  ",12:44:58 PM,Saturday March 27 2021,Positif
288,288,289,Benhan,"Membalas : Photo
Kalau lewat 1040, saya beli. Sama kayak analisa @sitotom tadi
",12:32:22 PM,Saturday March 27 2021,Positif
295,295,296,Bu Nana,"Saya hbs CL bbrp saham , makanya cari ganti , posisi triangle eh blm bo malah avrg down tapi malah saham tsb naik lagi dgn akumulasi asing hehe kadang kedistract antara akum asing vs support resis",12:17:31 PM,Saturday March 27 2021,Positif
297,297,298,Benhan,"Membalas : Saya lagi ragu pak Rakhmad, krn uda tinggi tapi masi uptren dan topik pagi ini Adalah avrg down
Kalau benar avg Anda 1020, ga perlu ragu Bu. Saya rasa Senin ini ga akan sempat avg down karena harganya dah naik duluan ",12:14:40 PM,Saturday March 27 2021,Positif
308,308,309,Rui :rocket: :speedboat::dancer: ,"Membalas : ini pada case saat terlanjur dalam https://www.tradingview.com/x/bvz254Wp/
Mantap ini!!     

Kalau saya sendiri waktu CENT turun k bawah 250 saya CL krn beli avg up jdnya dpt di 262
Kamis setelah bottom lalu membentuk hammer hijau dg volume bagus baru saya masuk lg, di 250 juga",12:02:02 PM,Saturday March 27 2021,Positif
316,316,317,Bu Nana,Smra masi uptren,11:38:22 AM,Saturday March 27 2021,Positif
323,323,324,Benhan,"Membalas : 1020
Kalau avg nya segitu, harga closing kemarin 1005, kenapa avg down? Mending tunggu dia konfirm naik baru avg up",11:35:36 AM,Saturday March 27 2021,Positif
331,331,332,Bu Nana,"Pagi TT , apa ini saat yg tepat buat avrg down smra ? Di 1000 sd 950?
Ini adalah foto",11:27:30 AM,Saturday March 27 2021,Positif
339,339,340,Benhan,"Tentunya average down saat belum capai toleransi cutloss ya masih OK. Misalnya SAME pas koreksi sebelum RI dan kemarin2 CENT pas koreksi dikit saya avg down masih OK, karena cuma turun sedikit belum reversal trend",11:07:35 AM,Saturday March 27 2021,Positif
362,362,363,Alfian,ISAT :rocket:,10:08:01 AM,Saturday March 27 2021,Positif
374,374,375,Angga Bhara,Yukss mumpung hari libur qt wisata ke taman AGRO agar fress hari senin,9:48:34 AM,Saturday March 27 2021,Positif
399,399,400,Tommy Daniel,"Membalas : Membaca pengalaman suhu2 di sini dan berkaca dari pengalaman pribadi, rule nomor 1 trading itu memang PASANG STOP LOSS! Bahkan G
Setuju kakak... pasang stop loss ditiap posisi. Upgrade to trailing stop buat take profit.

Karena take profit itu juga sama penting nya dengan stop loss. Supaya bisa lihat account kita grow atau tidak.",9:13:13 AM,Saturday March 27 2021,Positif
432,432,433,Andrian,akra pak bisa dilirik,7:46:12 AM,Saturday March 27 2021,Positif
445,445,446,Daniel Bong,"Temen disini waktu covid bulan Maret ada yg potensi loss sampai 70% tapi habis skg sdh berbalik profit hampir 100%..klau ada angkat jempol nya   
Maret 20 ya bukan yg skg",7:20:07 AM,Saturday March 27 2021,Positif
494,494,495,Rui :rocket: :speedboat::dancer: ,"Membalas : CENT nya dipantau bu Saya liat bagus tunggu konfirm Koreksi kalau salah
CENT kebetulan kemarin sudah masuk kak begitu dia ngebentuk mjolnir hijau dengan volume bagus, thank you remindernya   

Eko Bawono Aminnn pak, kalau itu sampai terwujud        cup nya cantik banget soalnya  ",10:29:11 PM,Friday March 26 2021,Positif
495,495,496,Eko Bawono,"Kl sy mau beli same, buy jk tutup di atas angka2 di atas. Kl lancar, sapa tau akan  
Ini adalah foto
Ini adalah foto",10:26:57 PM,Friday March 26 2021,Positif
496,496,497,Yugo Ginanjar,"Membalas : Photo
CENT nya dipantau bu 

Saya liat bagus tunggu konfirm
Koreksi kalau salah",10:26:16 PM,Friday March 26 2021,Positif
499,499,500,Rui :rocket: :speedboat::dancer: ,"Ijin berbagi analisa juga, hari ini SAME menunjukkan buyer kembali memasuki arena namun tertahan dibawah fibo 0.5 atau area sell signal dari Pak Guru Eko
Apakah besok akan berlanjut kenaikannya, atau akan kembali turun untuk mendekati MA20nya, karena selama ini MA20 selalu dicolek dulu sebelum ngegas  

Saya akan menunggu di area MA20 tersebut
Ini adalah foto",10:23:59 PM,Friday March 26 2021,Positif
500,500,501,Rick Andre,"Membalas : Photo
Kl diliat dr history gris hitam sblmnya ad potensi break keatas pak.. dlm weakly lbh cantik candle nya..",10:23:19 PM,Friday March 26 2021,Positif
503,503,504,Fajar Oktavaria,"Membalas : Photo
jika lanjut naik dengan volume menurut saya >458, jika buy on weakness 416 *untuk perjalanan ke 500 harus melewati resistnya di 474 (by body)
",10:00:37 PM,Friday March 26 2021,Positif
505,505,506,Shimano Aditya,"Kalau saya, yakin akan retest ke garis support hijau dulu. Klo berhasil bertahan di atas support, mungkin saya cicil beli, klo dia break garis hitam baru saya avg up",9:58:31 PM,Friday March 26 2021,Positif
518,518,519,Kaanz ,"TT nya udah jebol resistance, menuju ATH nih ",9:30:15 PM,Friday March 26 2021,Positif
519,519,520,Kaanz ,Terimakasih juga pak @JuthaBram  view nya tentang indeks semoga juni bisa cuan njedog  ,9:29:14 PM,Friday March 26 2021,Positif
536,536,537,Shimano Aditya,TT Ara lagi banyak dari grupnya pak jutha hahha,8:51:22 PM,Friday March 26 2021,Positif
540,540,541,Muhammag kuncoro,"Membalas : Kagak tau padahal dah mute kan?
Asix juga dengar masak2 di grub saham mungkin ini kodenya saham icbp ya minggu depan.",8:45:01 PM,Friday March 26 2021,Positif
542,542,543,Dave @propertyimpianmurahsurabaya,Lg goreng Ikan mungkin  ,8:36:38 PM,Friday March 26 2021,Positif
579,579,580,Jutha Bram,"Membalas : Yang haka antm tins inco mcas mukanya beseri2 pasti   
Saya Haka ESSA saja kemarin  
",5:34:23 PM,Friday March 26 2021,Positif
580,580,581,Mic,"Membalas : ANTM TINS INCO MCAS HAKA
Yang haka antm tins inco mcas mukanya beseri2 pasti   
",5:26:14 PM,Friday March 26 2021,Positif
581,581,582,Satimin Sejati,"Membalas : Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...
Semoga bisa yiha2 lagi setelah musim tanam kmrn. Aamiin",5:25:53 PM,Friday March 26 2021,Positif
583,583,584,Jutha Bram,"Membalas : Nah sekarang sudah resmi suhu @JuthaBram. Terima kasih bantuan forecast-nya...
Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...",5:21:24 PM,Friday March 26 2021,Positif
589,589,590,Paw Paw,cakep ya antm,4:46:50 PM,Friday March 26 2021,Positif
600,600,601,Johny,"Membalas : Mau tp ritail gak ngikut  
lumayan yang serok tadi cuan 3%  ",3:25:01 PM,Friday March 26 2021,Positif
603,603,604,Jafar Sim,"Membalas : Jadi pola htf nya pak ?
Harusnya jadi ya, konfirmasinya senin kalau harga naik tinggi dengan  volume tinggi juga,",3:08:16 PM,Friday March 26 2021,Positif
609,609,610,Mic,Ihsg hijau gini ramai ya giliran merah diam semua   ,2:57:52 PM,Friday March 26 2021,Positif
615,615,616,Hx,Kija mulai gerak,2:16:24 PM,Friday March 26 2021,Positif
616,616,617,Humam,"Membalas : Pastikan lamar jabatan level Management ya Pak...karena itu MSOP bukan ESOP
AGRO MESOP pak, employee dapet juga.. ",2:08:28 PM,Friday March 26 2021,Positif
620,620,621,rigeladitya,"Membalas : saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah tapi kalo tembu
yes, ihns besar banget... masing2 shoulder 3 bulan bikin base-nya.",1:58:08 PM,Friday March 26 2021,Positif
621,621,622,Fajar Oktavaria,"Membalas : wahaha.. lama bat. say abaru seminggu juga udah mulai gerah nih.
saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah   
tapi kalo tembus >630 memungkinkan buat ihns itu",1:57:23 PM,Friday March 26 2021,Positif
626,626,627,Erich,ihsg 7000 :rocket::rocket::rocket::rocket::rocket: ,1:48:46 PM,Friday March 26 2021,Positif
630,630,631,as s,"Membalas : Yeay IHSG tembus 6180
   ",1:44:23 PM,Friday March 26 2021,Positif
632,632,633,Andru,Yeay IHSG tembus 6180,1:43:38 PM,Friday March 26 2021,Positif
634,634,635,Erich,"Membalas : Jgn salah yg tumpah piringnya byk  
sold barusan kena tins",1:42:15 PM,Friday March 26 2021,Positif
636,636,637,den,masa2 kejayaan antm is back  ,1:41:10 PM,Friday March 26 2021,Positif
637,637,638,Erich,kenyang dah dari tins antm inco hari ini :airplane::airplane::airplane::airplane:,1:41:01 PM,Friday March 26 2021,Positif
638,638,639,Aho Lie,"Membalas : ampun antm remnya blong  
Semoga ara kasian yg nyangkut byk inget klo udh untung buru2 Tp",1:40:57 PM,Friday March 26 2021,Positif
639,639,640,as s,ampun antm remnya blong  ,1:40:06 PM,Friday March 26 2021,Positif
640,640,641,Rakhmad Nirmawan Nofendi,"Membalas : Sadis ya om, yg related sama pat.wal. :police_car:
iya private equity yah gt kerjaan nya beli perusahaan yg babak belur di benerin ud cantik baru jual   . investasinya yg nyangkut kyknya di DOID waktu akuisisi BUMA di harga 1145 gak salah",1:38:40 PM,Friday March 26 2021,Positif
641,641,642,Charles Prop,Banking uda rally. Sip ihsg ketahab,1:38:19 PM,Friday March 26 2021,Positif
646,646,647,Septianto Francisco,DGNS serok arb ngab :rocket::rocket:,1:30:48 PM,Friday March 26 2021,Positif
647,647,648,Rakhmad Nirmawan Nofendi,"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
northstar untung byk abis placement masa ke michelin sejak itu saham""nya northstar pada aktif",1:30:01 PM,Friday March 26 2021,Positif
648,648,649,Aliong,"Membalas : Harus liat produk ny jg si pak kenapa bs mau go private. Sngt minim sekarang prusahaan mau go private apalagi lg pandemi gini BU
Yak betul, cerita kaya saham MASA pasti dijaga ketat juga ga bole bocor alus",1:28:33 PM,Friday March 26 2021,Positif
655,655,656,Aho Lie,Saya sih yakin cent bakal ke 300 lebh ..ya...masalh lebhnya nih kira2 dilebihin 100 200 atau 2000       ,1:16:03 PM,Friday March 26 2021,Positif
660,660,661,Efraim Arya,Udh 5 kali lipat itu gais kalo beli di maret tahun lalu xixixi,1:11:16 PM,Friday March 26 2021,Positif
663,663,664,Erich,"Membalas : Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar
sm kayak bjtm ini mesop2 ya",1:10:12 PM,Friday March 26 2021,Positif
665,665,666,RBTAN59,"Membalas : Ini sih bukan saya pastinya    Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun
cent mgkn bisa jg 3x lipet yah Om   ",1:08:32 PM,Friday March 26 2021,Positif
666,666,667,Soebianto,Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar,1:06:43 PM,Friday March 26 2021,Positif
668,668,669,Soebianto,"Membalas : Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....
Ini spt karyawan AGRO dikasih beli harga disc 70%an dari harga pasar ya pasti mau kan chuan lsg, apalagi di dokumen nya gak ada kata2 lock up",1:05:41 PM,Friday March 26 2021,Positif
672,672,673,Soebianto,"Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....",1:04:25 PM,Friday March 26 2021,Positif
677,677,678,Benhan,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
Ini sih bukan saya pastinya   
Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun",1:01:40 PM,Friday March 26 2021,Positif
681,681,682,Taufiq,Nah ini. Ihsg drtd naik terus. Koreksi bentaran. Ntar kl dibawa turun ya lumayan jg.,12:53:46 PM,Friday March 26 2021,Positif
682,682,683,Andru,"Membalas : dari segi mana om saingan bbca? harga saham? atau bisnisnya?
Bisnisnya dong, akuisisi oleh gojek dan kita tau customer / pengguna gojek brp banyak di seluruh Indonesia",12:41:46 PM,Friday March 26 2021,Positif
683,683,684,Andi FX,"Membalas : uda takut. MG aja uda jarang nongol di antm 
Hari ini nongol..makanya naik  ",12:38:14 PM,Friday March 26 2021,Positif
689,689,690,Charles Prop,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
antm sudah masuk msci harga sudah dijaga. ga akan sevolatile dulu lagi",12:31:35 PM,Friday March 26 2021,Positif
691,691,692,Andi FX,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
Saya beli arto karna digoreng...berharap digoreng terus dan terus...dan terus.. ",12:31:14 PM,Friday March 26 2021,Positif
692,692,693,krm nugraha,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
kmaren"" jg beli antm pada bilangnya sama karna masa depan ",12:30:05 PM,Friday March 26 2021,Positif
693,693,694,Charles Prop,"Membalas : Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. I
kalau ditarik ke belakang chartnya 3-5tahun lalu, anda pasti ngerti kok kenapa ini saham dari 100perak jadi 5000 dibanting ke 100 lagi dengan sangat cepat
Membalas : Setuju, saingan nya BBCA
dari segi mana om saingan bbca? harga saham? atau bisnisnya?",12:23:19 PM,Friday March 26 2021,Positif
694,694,695,Bapakne Naila,"Coba digital bank pake PEG om, PE/EPS growth.
Membalas : Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg do
Siap om   ",12:07:02 PM,Friday March 26 2021,Positif
695,695,696,Aho Lie,"Membalas : Waktu 180 ga dilirik om  
Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg down jd udh lumyn pas harga 240",12:05:55 PM,Friday March 26 2021,Positif
698,698,699,Vincent,"Saya mantau aja pak,all the best hehehe. Saya jg punya pandangan oke kok ke arto.",11:50:06 AM,Friday March 26 2021,Positif
703,703,704,Benhan,"Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. Ini blueprintnya sudah jelas dan eksekusi Right Issuenya sempurna. Sayang kalau terlewatkan. 
Di dalamnya ada North Star pula. Banyak boxes ticked!  ",11:44:52 AM,Friday March 26 2021,Positif
705,705,706,Benhan,"Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekitar 16x. Sudah masuk kategori Bank Buku III.
Terus bakal right issue terus sampai equitynya capai 30T masuk Bank Buku IV. Perkiraan 2022 lah tercapai.",11:40:54 AM,Friday March 26 2021,Positif
709,709,710,R,"haka bvic MG mulai masuk, AVG 177. masih harus di kerek naik ke 180-185",11:33:11 AM,Friday March 26 2021,Positif
710,710,711,Maimunah,"Waduh piye toh masih AVG, yg baru msk pagi aja ini udah cuan salah kamar ya",11:32:18 AM,Friday March 26 2021,Positif
711,711,712,Aho Lie,"Membalas : Hehehe ya udah hari ini ada buto ijo jd cerah smg yg nyangkut kmrn bisa keluar
Saya avg down terus pak biar gak ketinggian",11:31:28 AM,Friday March 26 2021,Positif
712,712,713,Benhan,Pas banget ya ANTM dikerek ke atas hari ini karena ada presscon battery holding. Begitulah cara market maker bekerja,11:31:21 AM,Friday March 26 2021,Positif
714,714,715,Aho Lie,Klo cent sampai april kyknya prospektus keluar tp harga udsh diatas 300     ,11:30:27 AM,Friday March 26 2021,Positif
715,715,716,Aho Lie,"Membalas : Ga ngedoain kok pak, cuma nawar ala ibu ibu aja   
Mudah2an dibalik sma malaikat jadi Ara gak usah byk2 5x aja   ",11:24:42 AM,Friday March 26 2021,Positif
720,720,721,Novian Yudha 087,Antm TP selanjutnya 2800,11:21:40 AM,Friday March 26 2021,Positif
725,725,726,Rolando,"Membalas : Suhu master Aho adalah spesialist CENT pak suhu master intel khong guan @Rovipr
sampai2 semua saham yg ijo dilihatnya ticker CENT  

peace ya, salam cuan",11:11:49 AM,Friday March 26 2021,Positif
728,728,729,Aho Lie,"Membalas : Yang nyambung direply itu camp pak   
Kirain orgnya nanys kenaps Cent nsik    maklum efforia",11:09:23 AM,Friday March 26 2021,Positif
734,734,735,Mic,"Membalas : ANTM TINS INCO MCAS HAKA
Ya haka congrats udh cuan ya",11:06:50 AM,Friday March 26 2021,Positif
740,740,741,Efraim Arya,"Membalas : kenapa naik tinggi om? ada isu apa?
Dia itu dulu isunya mau ikut distribusi salah satu vaksin kalo gk salah, makanya naik kenceng",11:04:01 AM,Friday March 26 2021,Positif
741,741,742,Aho Lie,"Membalas : kenapa naik tinggi om? ada isu apa?
Waduh gak tau bakal Ri tp jadwsl brlum keluar klo prediksi sih bisa diatas 300  
Membalas : kenapa naik tinggi om? ada isu apa?
Catet hr ini klo tutupnaik bisa diatas 7 % senin selasa siap2 Ara    ",11:01:49 AM,Friday March 26 2021,Positif
743,743,744,Aho Lie,"Membalas : AK nyerok Cent
Prospek",11:00:10 AM,Friday March 26 2021,Positif
744,744,745,Johny,AK nyerok Cent,10:58:28 AM,Friday March 26 2021,Positif
745,745,746,Aho Lie,"Membalas : Photo
Ini yg saham salah satu diprediksi pak HS akan nsik tinggi   ",10:58:07 AM,Friday March 26 2021,Positif
748,748,749,Yoga Dharmawan,"Membalas : @RuiAuxilia Mb klo BBYB itu cumdate nya kapan to...kq di rti ma stockbit beda
Di rti belom update kayaknya, cumdate bbyb uda tgl 24 kemaren",10:52:19 AM,Friday March 26 2021,Positif
752,752,753,Aho Lie,"Membalas : merasa berdosa jual d 3400 dulu
Waduh beruntung d ong hr ini udh terbg mash 2300 an mau pakai jet pribadi ke 3400   
Membalas : bahagia nyerok smalem sore om wkwk
Nyeroknya hrs jelas dulu    ",10:46:16 AM,Friday March 26 2021,Positif
754,754,755,Aho Lie,"Mana suara Brms    
Membalas : banyak yg bahagia yah kalau antam naik
Ia byk yg nyangkut",10:41:03 AM,Friday March 26 2021,Positif
757,757,758,Faizal S Rahman,"Membalas : https://www.tradingview.com/x/4w4bOHjN/ Biar teknikal yg mnjawab hha
mantepp,, dah jebol resist kah ?? otw 2600 kah ???",10:37:48 AM,Friday March 26 2021,Positif
760,760,761,Septio Hanifa,PKPK ara gak nih,10:29:11 AM,Friday March 26 2021,Positif
763,763,764,muriz,Antm nyangkut 8% terbayar lunas dgn hati yg tenang..gak minus lagi....trmksh pak sopir,10:28:02 AM,Friday March 26 2021,Positif
764,764,765,Deny Hermawan,ANTM :rocket:,10:26:17 AM,Friday March 26 2021,Positif
767,767,768,Fadli,antm kalo bertahan di atas 2350 sesi satu strong,10:20:17 AM,Friday March 26 2021,Positif
768,768,769,Erich,harga nikel timah biasa aja..antm tins ijo tebel  ,10:19:28 AM,Friday March 26 2021,Positif
776,776,777,Jafar Sim,"Membalas : Target 300 hbs itu gby my love   
36/264 = 13,6% cuan kotozz kotoozz!",10:12:47 AM,Friday March 26 2021,Positif
777,777,778,Aho Lie,"Membalas : Naaah kalau bapak Aho ini spesialist CENT, mohon banyak banyak kasih masukan tentang CENT yaa
Target 300 hbs itu gby my love   
",10:11:55 AM,Friday March 26 2021,Positif
778,778,779,rahmad,IHSG semoga menuju 6200 dan bertahan disana,10:11:30 AM,Friday March 26 2021,Positif
780,780,781,Ardiyan Bagas,MIKA masih bisa bikin higher high gak ya? Masih sangkut d 2900,10:09:46 AM,Friday March 26 2021,Positif
783,783,784,Aho Lie,"Membalas : ARA kan CENT :rocket:
Udah 2x tik tok mas   ",10:05:25 AM,Friday March 26 2021,Positif
784,784,785,Ardiyan Bagas,ARA kan CENT :rocket:,10:04:34 AM,Friday March 26 2021,Positif
785,785,786,R,"bvic mantap. yok masuk, sblm ketnggalan",10:02:21 AM,Friday March 26 2021,Positif
786,786,787,Jafar Sim,"Membalas : bisa juga 6-7-8-9  
Tulisan suhu master Billy     agak mencurigakan kalau ada tulisan wiim nya spti orang kalau baru pertama kali ketemu cici guru @RuiAuxilia grogi salfok    agro aja agro ajaaa skrg 1055",10:01:20 AM,Friday March 26 2021,Positif
792,792,793,Virgaust,"Membalas : jgn disebut2    nanti rame, khusus orang sabar wkwkw
koh Billy muncul di komen WIIM ini udah menjadi selling point tertentu. nilai Plus  ",9:52:47 AM,Friday March 26 2021,Positif
794,794,795,Kaanz ,CENT nya kek nya juga potensi HTF?,9:50:58 AM,Friday March 26 2021,Positif
